Time,PlayerPos,ObstacleXPos,CoinXPos,Score
1,225.9,389,226,0
1,180.9,517,181,2
1,440.7,265,441,4
1,439.2,265,439,5
1,325.2,561,325,7
1,325.2,284,325,9
1,290.1,343,290,11
1,264.3,343,264,12
1,297.9,179,298,14
1,207,591,207,16
1,351,526,351,19
1,369.9,526,370,20
1,460.2,555,460,22
1,582.9,479,583,24
1,446.4,534,437,26
1,482.7,225,483,28
1,367.8,225,368,29
1,534.9,408,535,31
1,432,287,432,34
1,315.3,267,315,36
1,225.9,504,226,38
1,271.2,619,271,40
1,276.3,610,276,42
1,417.3,531,393,45
1,253.8,413,244,47
