PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
583.8,453,400,584,500,0
584.4,453,500,584,625,0
584.4,453,578.4,584,723,0
568.2,453,600,197,-23,1
502.8,453,850.4,197,289,1
221.4,413,329.89,197,763.7,0
273.6,413,400.36,537,37.87,0
364.2,413,600.43,537,287.34,1
363.6,413,700.06,537,411.57,1
363.6,413,850.72,537,598.42,1
511.2,466,151.72,537,850.36,0
329.4,466,400.18,318,259.06,0
318.6,466,500.22,318,383.5,0
318.6,466,600.26,318,507.94,1
318.6,466,700.3,318,632.38,1
318.6,466,772.46,318,722.14,1
375.6,466,850.36,532,45.88,1
532.2,552,400.69,532,606.2,0
504.6,552,500.29,532,729.8,0
505.2,552,511.08,532,743.19,0
368.4,552,700.32,366,184.84,1
366.6,552,850.55,366,370.24,1
366.6,259,233.92,366,722.8,0
485.4,259,400.24,537,155.92,0
536.4,259,500.2,537,279.68,0
537,259,600.16,537,403.44,1
536.4,259,700.12,537,527.2,1
537,259,850.48,537,712.32,1
536.4,238,-42.35,537,722.82,0
577.8,238,400.5,578,497.05,0
578.4,238,583.25,578,722.8,0
566.4,238,600.25,304,-29,1
495.6,238,700.55,304,94.9,1
390,238,850.15,304,278.65,1
303.6,209,309.48,304,722.79,0
324,209,400.64,324,62.36,0
324,209,500.4,324,185.32,0
324,209,600.16,324,308.28,1
324.6,209,850.42,324,615.68,1
324,450,36.13,324,722.68,0
405,450,400.66,405,398.33,0
404.4,450,664.27,405,722.54,1
406.8,450,850.45,433,177.91,1
432.6,269,392.64,433,722.23,0
427.2,269,400.56,335,-40.28,0
335.4,269,600.32,335,204.88,1
335.4,269,700.64,335,328,1
335.4,269,850.24,335,510.52,1
335.4,601,122.66,335,723.07,0
420.6,601,400.34,421,290.08,0
420.6,601,500.02,421,412.16,0
421.2,601,600.59,421,535.33,1
421.2,601,700.27,421,657.41,1
421.2,601,753.67,421,722.81,1
355.8,601,850.68,277,67.72,1
276.6,507,484.6,277,722.22,0
285.6,507,600.7,286,91.9,1
286.2,507,700.6,286,214,1
285.6,507,850.9,286,396.6,1
286.2,414,216.63,286,722.94,0
407.4,414,400.45,468,174.22,0
375,414,500.55,468,296.32,0
375,414,600.65,468,418.42,1
374.4,414,850.9,468,722.56,1
442.2,300,53.96,468,850.24,0
608.4,300,500.16,609,493.2,0
609,300,600.44,609,615.28,1
609,300,688.76,609,722.8,1
504.6,300,850.68,505,146,1
504.6,438,400.12,505,694.05,0
505.2,438,423.37,505,722.3,0
474.6,438,500.56,386,43.79,0
475.2,438,600.07,386,164.7,1
475.2,438,700.51,386,286.74,1
474.6,438,850.24,386,467.54,1
386.4,341,159.62,386,722.9,0
387.6,341,400.26,388,241.84,0
388.2,341,600.48,388,484.66,1
388.2,341,700.12,388,605.5,1
387.6,341,796.94,388,722.92,1
377.4,341,850.52,240,13.84,1
240.6,500,400.3,240,560.09,0
240,500,500.05,240,680.84,0
240,500,534.25,240,722.24,0
345,500,700.5,443,151.25,1
439.8,500,850.6,443,331.8,1
443.4,394,272.56,443,722.72,0
495.6,394,400.24,496,104.28,0
495.6,394,500.08,496,224.92,0
496.2,394,850.48,496,647.16,1
495.6,361,11.11,496,722.04,0
255,361,400.08,202,419.17,0
201.6,361,651.31,202,722.2,1
283.8,361,850.16,284,188.68,1
284.4,565,391.98,284,722.04,0
265.8,565,700.68,266,321.7,1
266.4,565,850.62,266,501.06,1
265.8,522,133.15,266,722.4,0
354.6,522,400.45,354,271.3,0
354,522,500.44,354,391.49,0
354.6,522,600.43,354,511.68,1
354,522,700.42,354,631.87,1
354,522,775.66,354,722.31,1
399.6,522,850.9,612,39.25,1
612,509,400,612,580.45,0
612,509,500,612,700.45,0
612,509,518,612,722.05,0
562.8,509,600,306,48.4,1
538.8,509,700,306,168.4,1
538.8,509,850,306,347.2,1
306.6,623,369.15,306,850.56,0
288,623,400.46,237,-12.49,0
237,623,500.45,237,107.3,0
237.6,623,600.44,237,227.09,1
237,623,700.43,237,346.88,1
237.6,623,850.92,237,525.96,1
237.6,440,113.2,237,722.38,0
440.4,275,400.4,440,513,0
439.8,275,500.4,440,638,0
440.4,275,568.4,440,723,0
464.4,275,600.4,489,-10,1
489,275,700.4,489,115,1
489,275,850.8,489,302,1
488.4,307,286.15,489,722.16,0
471,307,400.36,471,92.41,0
470.4,307,600.43,471,341.88,1
471,307,700.06,471,466.11,1
471,307,850.72,471,652.96,1
470.4,606,4.94,471,722.32,0
595.2,606,400.18,595,441.64,0
558,606,500.22,595,566.08,0
558,606,600.26,595,690.52,1
558,606,700.3,595,814.96,1
557.4,606,729,595,850.66,1
468.6,606,850.36,236,99.94,1
236.4,213,400.69,236,660.26,0
259.8,213,461.28,236,735.45,0
288,213,500.29,362,-1.59,0
361.8,213,700.32,362,246.64,1
362.4,213,850.55,362,432.04,1
362.4,591,183.52,362,722.2,0
499.2,591,400.24,499,218.32,0
498.6,591,500.2,499,342.08,0
499.2,591,600.16,499,465.84,1
498.6,591,700.12,499,589.6,1
498.6,591,807.64,499,722.72,1
468,591,850.48,457,2,1
457.2,417,400.5,457,559.55,0
462,417,533.1,457,723.35,0
461.4,417,600.25,269,32.95,1
461.4,417,700.55,269,156.85,1
461.4,417,850.15,269,340.6,1
268.8,222,258.74,269,722.2,0
247.8,222,400.64,248,124.9,0
265.8,222,500.4,248,247.86,0
265.8,222,600.16,248,370.82,1
266.4,222,850.42,248,678.22,1
248.4,452,-15.2,248,722.09,0
535.2,452,400.66,587,461.46,0
586.8,452,612.94,587,722.54,1
495,452,850.45,285,241.04,1
285.6,303,341.6,285,722.72,0
325.8,303,400.56,446,22.36,0
446.4,303,600.32,446,267.52,1
446.4,303,700.64,446,390.64,1
446.4,303,850.24,446,573.16,1
446.4,384,71.04,446,722.49,0
250.8,384,400.34,251,353.3,0
250.8,384,500.02,251,475.38,0
251.4,384,600.59,251,598.55,1
251.4,384,700.27,251,720.63,1
251.4,384,702.05,251,722.81,1
343.2,384,850.68,429,130.94,1
429,282,433.3,429,722.74,0
540.6,282,600.7,566,154.6,1
566.4,282,700.6,566,276.7,1
565.8,282,850.9,566,459.3,1
565.8,354,164.76,566,722.37,0
410.4,354,400.45,397,237.49,0
397.2,354,500.55,397,359.59,0
397.2,354,600.65,397,481.69,1
396.6,354,798.12,397,722.56,1
431.4,354,850.9,528,13.27,1
527.4,223,500.16,528,684.15,0
527.4,223,531.44,528,722.23,0
482.4,223,600.44,412,34,1
411.6,223,850.68,412,337.52,1
411.6,563,266.2,412,722.85,0
422.4,563,400.12,423,112.72,0
422.4,563,500.56,423,234.76,0
423,563,600.07,423,355.67,1
423,563,700.51,423,477.71,1
422.4,563,850.24,423,658.51,1
423,362,1.7,423,722.35,0
557.4,362,400.26,558,433.36,0
558,362,600.48,558,676.18,1
557.4,362,639.02,558,722.92,1
518.4,362,700.12,281,24.1,1
422.4,362,850.52,281,205.36,1
281.4,526,376.55,281,722.86,0
273.6,526,400.3,274,-21.25,0
274.2,526,500.05,274,99.5,0
273.6,526,700.5,274,342.15,1
273.6,526,850.6,274,522.7,1
274.2,559,114.16,274,722.22,0
453,559,400.24,459,295.68,0
459,559,500.08,459,416.32,0
459,559,753.52,459,722.56,1
398.4,559,850.48,314,66,1
314.4,625,400.08,314,610.05,0
314.4,625,493.2,314,722.37,0
370.8,625,850.16,371,379.39,1
370.8,447,234.2,371,722.77,0
309.6,447,700.68,309,511.68,1
309,447,850.62,309,691.04,1
309,263,-24.26,309,723.17,0
453.6,263,400.45,454,460.51,0
454.2,263,500.44,454,580.7,0
453.6,263,600.43,454,700.89,1
453.6,263,618.25,454,722.31,1
503.4,263,700.42,505,48.77,1
504.6,263,850.9,505,228.46,1
505.2,336,361,505,722.86,0
481.8,336,400,233,-3.2,0
421.8,336,500,233,116.8,0
366.6,336,600,233,236.8,1
366.6,336,700,233,356.8,1
366.6,336,850,233,535.6,1
260.4,568,128.77,233,750.98,0
226.2,568,400.46,226,275.49,0
225.6,568,500.45,226,395.28,0
226.2,568,600.44,226,515.07,1
225.6,568,700.43,226,634.86,1
226.2,568,774.16,226,723.19,1
271.8,568,850.92,591,40.75,1
591,216,519.16,591,722.73,0
446.4,216,850.66,447,345.28,1
446.4,496,265.18,447,722.89,0
478.2,496,400.11,478,111.13,0
469.2,496,500.02,478,230.44,0
